Transaction_Number,Item,Date,Price
1091,A rolling pin,2/11/2016,$36 
1292,A hammock,4/12/2016,$7 
1360,An anchor,12/16/2016,$285 
1647,A skunk,3/11/2016,$448 
1846,A desk chair,9/22/2016,$810 
1631,A sandwich,1/26/2016,$177 
1286,An ottoman,1/11/2016,$33 
1825,A bottle opener,7/23/2016,$908 
1165,A fire escape,1/2/2016,$265 
1760,Luminescent plankton,6/30/2016,$901 
1829,A cabin,11/26/2016,$817 
1756,Mushrooms,1/20/2016,$316 
1174,Shrubbery,7/7/2016,$892 
1908,Bubbles,9/9/2016,$474 
1456,A pickle,11/28/2016,$733 
1280,An ironing board,5/19/2016,$991 
1766,A dolphin,11/16/2016,$98 
1724,A paper clip,11/3/2016,$722 
1343,A trumpet,8/31/2016,$880 
1045,A burrito,11/6/2016,$935 
1777,Tube socks,8/8/2016,$364 
1619,A crayon,3/30/2016,$120 
1618,A robot,11/18/2016,$326 
1408,A roller coaster,12/19/2016,$835 
1174,A mosquito,5/24/2016,$679 
1246,Fruit cocktail,11/9/2016,$132 
1125,A peg leg,1/12/2016,$624 
1137,A spigot,2/19/2016,$344 
1628,A balloon,12/25/2016,$698 
1354,A knot,4/5/2016,$366 
1195,An old key,2/5/2016,$301 
1918,A submarine,9/6/2016,$107 
1756,A tulip,10/2/2016,$522 
1028,A gold medal,7/7/2016,$872 
1228,Pom-poms,2/7/2016,$841 
1493,A juice box,1/31/2016,$901 
1723,A jar full of pennies,7/6/2016,$190 
1494,A bag of hammers,8/29/2016,$924 
1812,Jelly beans,11/5/2016,$408 
1331,A sundial,1/3/2016,$357 
1225,A crystal ball,1/7/2016,$8 
1726,A synthesizer,4/10/2016,$696 
1706,A paper airplane,12/24/2016,$633 
1902,A water tower,7/17/2016,$444 
1029,A surfboard,6/16/2016,$166 
1443,A layer cake,5/18/2016,$155 
1544,A mime,11/9/2016,$968 
1844,Charlie Chaplin,12/3/2016,$535 
1510,A penguin,7/3/2016,$957 
1567,A seagull,6/26/2016,$32 
1776,An anatomy chart,5/29/2016,$919 
1861,A tree limb,4/13/2016,$142 
1965,A ship in a bottle,6/19/2016,$413 
1670,Brass knuckles,4/6/2016,$79 
1808,An ear of corn,3/1/2016,$896 
1245,Costume jewelry,7/13/2016,$290 
1807,Smoke,7/31/2016,$747 
1881,A glass of milk,4/12/2016,$847 
1754,A teapot,4/25/2016,$413 
1527,Weeds,3/26/2016,$903 
1025,A turkey leg,6/22/2016,$434 
1558,A pencil,1/12/2016,$602 
1046,A picket fence,1/21/2016,$407 
1143,A Tiffany lamp,7/26/2016,$831 
1028,The Empire State Building,4/13/2016,$190 
1605,A stalagmite,10/24/2016,$625 
1413,A stalactite,6/23/2016,$987 
1605,A ladybug,3/30/2016,$977 
1425,A helmet,8/5/2016,$257 
1966,A paw print,6/24/2016,$530 
1131,A T-shirt,2/2/2016,$11 
1469,A cinder block,1/25/2016,$51 
1627,Swim fins,6/24/2016,$707 
1663,A ripe banana,10/17/2016,$372 
1670,A barbell,7/6/2016,$967 
1391,A tennis racket,4/1/2016,$299 
1957,A spiral staircase,6/4/2016,$36 
1344,A ponytail,1/7/2016,$146 
1633,A campfire,4/30/2016,$779 
1050,A squirrel,7/31/2016,$343 
1298,A thumb,7/8/2016,$510 
1210,A book,5/24/2016,$299 
1194,Tangled ribbons,6/9/2016,$948 
1488,Noodles,11/26/2016,$32 
1559,A lock,4/3/2016,$428 
1782,An accordion,2/15/2016,$791 
1635,A log,10/4/2016,$35 
1994,A melting candle,4/23/2016,$923 
1613,A phone booth,12/3/2016,$970 
1645,A geode,10/20/2016,$98 
1942,Dice,4/20/2016,$657 
1840,Ointment,10/11/2016,$669 
1104,A bucket,4/22/2016,$855 
1410,A digital watch,3/30/2016,$856 
1945,A bicycle,10/7/2016,$385 
1735,A cassette tape,5/30/2016,$481 
1591,A library card,12/15/2016,$576 
1069,A corn dog with mustard,2/15/2016,$295 
1549,Mittens,8/6/2016,$150 
1591,A pocket,12/26/2016,$179 
1887,A bunch of grapes,1/3/2016,$494 
1343,A vending machine,7/3/2016,$363 
1435,A typewriter,1/9/2016,$961 
1146,A flamingo,10/11/2016,$376 
1741,A kebab,3/8/2016,$393 
1518,Shelves,4/4/2016,$968 
1694,A necklace,7/2/2016,$372 
1915,A scallion pancake,3/22/2016,$412 
1374,A time machine,5/13/2016,$657 
1478,A Tyrannosaurus Rex,5/3/2016,$26 
1985,A music box,12/14/2016,$92 
1605,A candelabra,7/21/2016,$28 
1692,A bulldog,1/18/2016,$265 
1252,A ball of yarn,2/3/2016,$848 
1626,A haircut,12/1/2016,$131 
1744,An electric guitar,2/6/2016,$528 
1276,Confetti,11/28/2016,$214 
1712,A pair of scissors,9/17/2016,$956 
1177,A bandage,8/27/2016,$493 
1721,A watermelon,5/15/2016,$190 
1851,Bacon,5/13/2016,$389 
1321,A newsboy cap,8/26/2016,$897 
1328,A seed pod,6/7/2016,$62 
1483,A board game,11/11/2016,$862 
1908,Daffodils,2/18/2016,$375 
1665,An onion,5/24/2016,$297 
1877,A slinky,8/18/2016,$265 
1346,A keychain,6/13/2016,$266 
1529,A sand castle,11/4/2016,$337 
1630,Leftovers,5/4/2016,$781 
1703,A football,3/18/2016,$910 
1275,A lightbulb,6/27/2016,$70 
1006,A horseshoe,1/3/2016,$809 
1925,A helicopter,11/14/2016,$536 
1675,A warthog,3/26/2016,$248 
1552,A basket,10/17/2016,$353 
1071,A skateboard,3/12/2016,$253 
1851,Sea spray,8/9/2016,$113 
1758,Seaweed,2/22/2016,$408 
1519,Hills and valleys,7/2/2016,$872 
1123,An umbrella,11/26/2016,$616 
1833,A Christmas tree,6/28/2016,$307 
1227,A hamburger,9/25/2016,$890 
1016,Sunglasses,2/29/2016,$684 
1544,Handprints,5/16/2016,$460 
1555,A rotary phone,6/25/2016,$186 
1444,A top hat,10/5/2016,$77 
1666,A turtle,9/28/2016,$198 
1148,A baseball,1/2/2016,$944 
1530,Flags,9/27/2016,$210 
1156,An airplane,1/9/2016,$682 
1861,A microphone,3/17/2016,$686 
1039,A saxophone,4/22/2016,$752 
1084,An ice cream cone,7/25/2016,$112 
1481,A marble,5/8/2016,$845 
1443,A weathervane,5/3/2016,$481 
1823,A lunchbox,12/20/2016,$366 
1078,A trolley car,5/15/2016,$490 
1855,A treasure chest,6/11/2016,$767 
1447,Binoculars,7/10/2016,$638 
1037,A pumpkin,1/4/2016,$724 
1859,A chalkboard,11/20/2016,$726 
1730,Stiletto heels,7/26/2016,$777 
1918,A pile of tires,1/10/2016,$52 
1214,French fries,3/4/2016,$934 
1319,A butterfly,12/16/2016,$302 
1903,A watering can,8/14/2016,$291 
1212,A cactus,5/3/2016,$49 
1325,Coral,3/28/2016,$551 
1511,Bonbons,2/25/2016,$329 
1942,A unicorn,1/18/2016,$228 
